hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
BD-14 3065 C,,,,,,,,,,,
BD-14 3065 A,,6935,2.35,1.41,-0.34,1.06,3.85,2.24,0.223,22,4.3
BD-14 3065 B,,6190,0.96,0.99,-0.37,0.09,4.47,2.24,,,
BD-17 63,K4 V (k),,,,,,,,,,
BD-17 63,,4665,0.74,0.31,0.01,,4.19,,,,
BD-17 63,,4665,0.72,0.74,0.01,-0.651,4.59,,2.7584,,
BD-17 63,K5 V,4714,0.69,0.74,-0.03,-0.678,4.26,4.3,,1.5,
BD-17 63,,4669.69,0.72,,,-0.651,,,,,
BD-17 63,,,,0.74,,,,,,,
BD-210397,K7 V,,,0.69,,,,4,,3.2,
BD-210397,K5,,,,,,,,,,
BD-210397,,4059,0.74,0.64,,-0.875,4.51,,2.239,,
BD-210397,K7 V,4051,0.75,0.68,0.12,-0.87,4.67,6.2,,1,
BD-210397,K7V,4152,0.65,0.57,,-0.921,,,,,
Barnard's star,,,,,,,,,,,
Barnard's star,,,,,,,,,,,
Barnard's star,M3.5-4 V,3195,0.18,0.16,-0.56,-2.45,4.9,,,,142
Barnard's star,M3.5V,3271,0.19,0.24,,,,,,,
Barnard's star,M4,,,,,,,,,,
Barnard's star,,3259,0.19,0.16,,-2.419,5.08,,31.6382,,
Barnard's star,,,,,,,,,,,
CD Cet,,3022,0.2,0.17,,-2.531,5.07,,30.3588,,
CD Cet,M5.0 V,3130,0.17,0.16,0.13,-2.533,4.93,3,,2,126.2
CFBDSIR J145829+101343,,580.5,,0.02,,,4.72,,,,
CFHTWIR-Oph 98 A,M9-L1,2320,0.24,0.01,,-2.85,3.85,0.003,,,
CHXR 73,,3099,,,,,,,,,
CHXR 73,M3.5,,,0.35,,,,0.002,,,
CI Tau,,3635,1.88,,,-0.255,,,,,
CI Tau,,3807,1.68,,,,,,,,
CI Tau,K7,,,0.9,,-0.108,,0.003,,,
COCONUTS-2 A,,3397,0.39,0.38,,-1.744,4.84,,9.1389,,
COCONUTS-2 A,M3 V,3406,0.39,0.37,0,-1.732,4.83,0.475,,,2.83
CT Cha,,4403,,,-0.56,,3.66,,,13.97,
CT Cha,K5e,,,,,,,,,,
CT Cha,,4464,1.81,,,,,,,,
CT Cha,,,,,,,,0.002,,,
CT Cha,,4200.2,1.68,,,-0.102,,,,,
CoRoT-1,,6298,1.23,1.22,0.06,,,1.6,,5.2,
CoRoT-1,,5950,1.14,1.03,,,,,,5.2,
CoRoT-1,,6355.07,1.29,1.26,0.066,0.389,4.32,,0.827,,
CoRoT-1,,6397,0.85,1.13,0.03,,4.66,,0.66,,
CoRoT-1,,5950,1.29,,,,4.33,,,,
CoRoT-1,G0 V,5950,1.11,0.95,-0.3,,4.25,,,5.2,
CoRoT-1,,5907.67,1.35,,,0.298,,,,,
CoRoT-1,,5950,1.13,0.95,-0.3,,4.31,7.8,0.93,,
CoRoT-1,,5950,,,-0.3,,4.25,,,,
CoRoT-10,,4080.38,0.87,,,-0.726,,,,,
CoRoT-10,,5025,0.89,0.8,0.06,,4.47,,2.2,,
CoRoT-10,,4921,,,0.15,,4.09,,,2.19,
CoRoT-10,,5075,0.79,0.89,0.26,,,3,,2,
CoRoT-10,,5025,0.55,0.84,0.06,-0.762,4.88,,7.1597,,
CoRoT-10,,5025,0.55,,,,4.88,,,,
CoRoT-10,,5075,0.74,0.9,0.26,,4.65,0.1,3.1,,
CoRoT-10,K1 V,5075,0.79,0.89,0.26,,4.65,3,3.32,2,
CoRoT-11,,6343,1.59,1.26,0.04,0.564,4.14,,0.4453,,
CoRoT-11,,6440,1.37,1.26,-0.03,,4.26,2,0.687,,
CoRoT-11,,6343,1.59,,,,4.14,,,,
CoRoT-11,,,1.33,1.23,,,,2,0.74,38.47,
CoRoT-11,,6343,1.36,1.56,0.04,,4.27,,0.581,36.72,
CoRoT-11,,6037,1.41,,,0.378,,,,,
CoRoT-11,F6 V,6440,1.37,1.27,-0.03,,4.22,2,0.69,40,
CoRoT-11,,6440,1.37,1.27,-0.03,,,2,,40,
CoRoT-12,,5675,1.12,1.08,0.16,,,6.3,,1,
CoRoT-12,,5536.1,0.94,,,-0.128,,,,,
CoRoT-12,,5675,1.04,,,,4.37,,,,
CoRoT-12,,,1.05,1,,0.07,4.38,6.17,1.22,,
CoRoT-12,,5675,1.05,1.02,0.16,,4.41,5.8,1.25,,
CoRoT-12,,5715,0.79,0.97,0.17,,4.66,,0.89,,
CoRoT-12,,5675,1.12,1.08,0.16,,4.38,6.3,1.08,1,
CoRoT-12,,5715,1.04,1.02,0.17,0.014,4.42,,1.2905,,
CoRoT-13,,5945,1.01,1.09,0.01,,,1.6,,4,
CoRoT-13,,5945,1.27,1.09,0.01,,4.26,5.8,0.741,,
CoRoT-13,,5305.45,1.29,,,0.073,,,,,
CoRoT-13,G0 V,5945,1.01,1.09,0.01,,4.46,1.635,1.468,4,
CoRoT-13,,5914,1.14,1.08,,0.154,4.36,,1.0357,,
CoRoT-13,,5945,1.14,,,,4.47,,,,
CoRoT-14,,6035,1.19,1.12,0.05,,4.34,3.7,0.94,,
CoRoT-14,F9 V,6035,1.21,1.13,0.05,,4.35,4.2,0.91,9,
CoRoT-14,,6040,1.21,1.13,0.05,,,4.2,,9,
CoRoT-14,,5826,1.42,1.05,,0.319,4.16,,0.5207,,
CoRoT-14,,4947.25,1.56,,,0.119,,,,,
CoRoT-16,,4870,1.24,0.79,,-0.112,4.15,,0.5911,,
CoRoT-16,,5650,1.19,1.1,0.19,,,6.7,,0.5,
CoRoT-16,,4053.68,1.23,,,-0.435,,,,,
CoRoT-16,G5 V,5650,1.19,1.1,0.19,,4.36,6.73,0.93,1,
CoRoT-17,,5740,1.59,1.04,0,,,10.7,,4.5,
CoRoT-17,,3841.25,2.64,,,0.134,,,,,
CoRoT-17,,5303,2.37,,,,,,,,
CoRoT-17,G2 V,5740,1.59,1.04,0,,4.4,10.7,0.32,4.5,
CoRoT-17,,5740,1.62,1.04,0,,4.04,8,0.342,,
CoRoT-18,,5440,0.93,,,,4.42,,,,
CoRoT-18,,5063.02,1,,,-0.226,,,,,
CoRoT-18,G9 V,5440,1,0.95,-0.1,,4.4,,1.35,8,
CoRoT-18,,5440,1,0.95,-0.1,,,0.6,,8,5.4
CoRoT-18,,5440,0.92,0.86,-0.1,,4.44,,1.54,,
CoRoT-18,,5525,0.93,0.97,,-0.135,4.48,,1.6783,,
CoRoT-18,,,0.88,0.88,,-0.17,4.49,6.92,1.8,,
CoRoT-19,,6090,1.65,1.21,-0.02,,,5,,6,
CoRoT-19,F9 V,6090,1.65,1.21,-0.02,0.544,4.07,5,0.38,6,
CoRoT-19,,6090,1.58,1.18,-0.02,,4.12,4.9,0.425,,
CoRoT-19,,5758,1.64,1.03,,0.425,4.02,,0.3295,,
CoRoT-19,,4915.5,1.79,,,0.225,,,,,
CoRoT-19,,6090,1.64,,,,4.09,,,,
CoRoT-2,,5529,0.94,0.97,-0.04,-0.131,4.48,,1.6618,,
CoRoT-2,,5696,,,0.03,,4.42,0.12,,8.5,
2MASS J19270636+0122577,,3703,0.53,0.52,,-1.331,4.72,,5.0847,,
CoRoT-2,,5598,0.9,1,0.04,,4.53,1.2,1.919,,
CoRoT-2,,5575,,,-0.04,,,,1.958,,
2MASS J19270636+0122577,,3655.33,0.51,,,-1.374,,,,,
CoRoT-2,,,,,,,,,,,
CoRoT-2,,5697,0.71,0.89,-0.09,,4.73,,1.36,,
CoRoT-2,,4990.87,0.92,,,-0.321,,,,,
CoRoT-2,,5529,0.94,,,,4.48,,,,
CoRoT-2,,5625,0.91,0.96,,,,2.7,1.814,10.87,
2MASS J19270636+0122577,K9 V,,,,,,,,,,
CoRoT-2,,5620,,,-0.03,,4.66,,,9.97,
CoRoT-2,,5625,0.9,0.97,0,,4.3,,,,
CoRoT-2,,5625,0.9,0.97,0,,,2.7,,11.85,4.52
CoRoT-2,,5696,0.91,1.02,0.03,,4.53,0.6,1.919,,
CoRoT-20,,4947.5,1.37,,,0.006,,,,,
CoRoT-20,,,,1.14,,,,,,,
CoRoT-20,G2 V,5880,1.02,1.14,0.14,,4.2,0.1,1.51,4.5,
CoRoT-20,,5404,1.3,0.94,,0.113,4.18,,0.6035,,
CoRoT-20,,5880,1.34,1.11,0.14,,4.23,5.9,0.65,,
CoRoT-20,,5880,1.3,,,,4.48,,,,
CoRoT-20,,5880,1.02,1.14,0.14,,,0.1,,4.5,
CoRoT-20,,,1.16,1.1,,0.17,4.35,0.4,1,,
CoRoT-21,F8 IV,6200,1.95,1.29,0,,3.7,4.1,0.255,11,
CoRoT-21,,5031.74,,,,,,,,,
CoRoT-21,,6200,1.95,1.29,0,,,4.1,,11,
CoRoT-22,,5709,1.18,1.02,,0.123,4.3,,0.878,,
CoRoT-22,,5245.52,1.23,,,0.014,,,,,
CoRoT-22,G3 V,5939,1.14,1.1,0.17,,4.36,3.3,1.027,4,
CoRoT-23,,4220,2.07,,,0.087,,,,,
CoRoT-23,,5426,2.12,0.95,,0.544,3.76,,0.1414,,
CoRoT-23,G0 V,5900,1.61,1.14,0.05,,4.3,7.2,0.5,9,
CoRoT-23,,5900,1.61,1.14,0.05,,,7.2,,9,
CoRoT-23,,5900,1.74,1.12,0.05,,4.01,5.4,0.301,,
CoRoT-24,,5026.25,0.66,,,-0.601,,,,,
CoRoT-24,K1 V,4950,0.86,0.91,0.3,,4.55,11,,2,
CoRoT-24,,4760,0.82,0.77,,-0.504,4.49,,1.9486,,
CoRoT-25,,6284,1.39,1.23,,0.433,4.24,,0.6464,,
CoRoT-25,,5018,1.56,,,0.141,,,,,
CoRoT-25,F9,6040,1.19,1.09,-0.01,,4.31,4.5,,4.3,
CoRoT-25,,6040,1.19,1.09,-0.01,,,4.5,,4.3,
CoRoT-26,,5590,1.79,1.09,0.01,,,8.6,,2,
CoRoT-26,G5,5590,1.79,1.09,0.01,,3.99,8.6,,2,
CoRoT-26,,4801.3,,,,,,,,,
CoRoT-27,G2,5900,1.08,1.05,-0.1,,4.4,4.21,1.24,4,
CoRoT-27,,4627.75,1.28,,,-0.166,,,,,
CoRoT-27,,5665,1.38,1.01,,0.25,4.16,,0.5371,,
CoRoT-27,,5900,1.08,1.05,-0.1,,,4.2,,4,
CoRoT-28,,5150,1.78,1.01,0.15,,,12,,3,
CoRoT-28,,4589.66,2.47,,,0.388,,,,,
CoRoT-28,,5177,2.62,,,,,,,,
CoRoT-28,G8/9 IV,5150,1.78,1.01,0.15,,3.6,12,0.27,3,
CoRoT-29,,4959.67,0.91,,,-0.347,,,,,
CoRoT-29,,5260,0.9,0.97,0.2,,,4,,3.5,
CoRoT-29,,5268,1.08,0.9,,-0.094,4.33,,1.0151,,
CoRoT-29,K0 V,5260,0.9,0.97,0.2,,4.3,4.5,1.825,3.5,
CoRoT-3,F3 V,6740,1.56,1.37,,,4.22,2.2,,17,
CoRoT-3,,6740,1.57,1.4,-0.02,,4.19,1.5,0.506,,
CoRoT-3,,6740,1.56,1.37,-0.02,,,2.2,,17,
CoRoT-3,,,1.54,1.36,,,,,0.524,35.8,
CoRoT-3,,5347,1.83,,,0.391,,,,,
CoRoT-3,,6558,1.53,1.36,0.14,0.589,4.2,,0.5403,,
CoRoT-3,,6558,1.44,1.41,0.14,,4.25,,0.431,18.46,
CoRoT-30,G3 V,5650,0.91,0.98,0.02,,4.4,3,,4.3,
CoRoT-30,,4976.25,1.07,,,-0.197,,,,,
CoRoT-30,,5811,0.98,1.04,,-0.003,4.47,,1.5416,,
CoRoT-31,,5415,2.06,0.94,,0.516,3.78,,0.1518,,
CoRoT-31,,4870,2.22,,,0.398,,,,,
CoRoT-31,G2 IV,5700,2.15,1.25,0,,3.85,4.7,,2.8,
CoRoT-35,F6 V,6390,1.65,1.01,-0.5,,4.01,6.1,,8.8,
CoRoT-35,,5825,1.49,1.05,,0.362,4.11,,0.4472,,
CoRoT-36,,6521,2,1.34,,0.813,3.96,,0.2373,,
CoRoT-36,F3 V,6730,1.52,1.32,-0.1,,4.16,2.1,,25.6,
CoRoT-4,,6190,1.12,,,,4.37,,,,
CoRoT-4,,6190,1.15,1.19,0.05,,4.4,0.8,1.11,,
CoRoT-4,,6190,1.17,1.16,,,4.41,1,,6.4,
CoRoT-4,,6344,0.72,1.14,0.15,,4.82,,0.79,,
CoRoT-4,,6240,1.12,1.21,,0.236,4.42,,1.2055,,
CoRoT-4,,6190,1.17,1.16,0.05,,,1,,6.4,8.9
CoRoT-4,,5898,1.18,,,0.185,,,,,
CoRoT-4,,6164,,,0.15,,4.34,,,7.03,
CoRoT-4,,6115,,,0.12,,4.3,,,5.5,
CoRoT-5,,6254,,,0.04,,4.41,,,1.43,
CoRoT-5,,5808.33,1.28,,,0.223,,,,,
CoRoT-5,F9 V,6100,1.19,1,-0.25,,4.19,6.9,,1,
CoRoT-5,,6100,1.27,,,,4.29,,,,
CoRoT-5,,6100,1.05,1.02,-0.25,,4.41,3.9,1.2,,
CoRoT-5,,6100,1.19,1,-0.25,,,6.9,,1,
CoRoT-5,,6240,1.27,1.21,0.04,0.345,4.31,,0.827,,
CoRoT-5,,,1.11,0.99,,0.18,4.34,6.31,1.01,,
CoRoT-5,,6240,1.06,1.13,0.04,,4.46,,0.88,,
CoRoT-6,,6090,1.02,1.05,-0.2,,,2.5,,7.5,6.4
CoRoT-6,,6090,1.04,1.05,-0.2,,4.42,2.5,1.31,,
CoRoT-6,,5357.41,1.2,,,0.026,,,,,
CoRoT-6,F9 V,6090,1.02,1.05,-0.2,,4.43,,,7.6,
CoRoT-6,,6206,1.09,1.19,,0.204,4.44,,1.2816,,
CoRoT-7,,5313,0.84,0.88,0.03,,4.54,,2.11,,
CoRoT-7,,5101.2,0.92,,,-0.292,,,,,
CoRoT-7,,5256,0.86,0.9,0.06,-0.289,4.52,,1.9632,,
CoRoT-7,G9 V,5250,,0.92,,,,1.8,,,
CoRoT-7,,5259,0.82,0.91,0.138,,4.57,1.32,2.354,,
CoRoT-7,,5250,0.96,0.88,0.12,,4.42,,1.41,,
CoRoT-7,,5288,1,0.85,0.02,,4.4,,1,,
CoRoT-7,G9 V,5275,0.87,0.93,0.03,,4.5,1.75,1.6,3.5,
CoRoT-7,,5275,0.83,0.82,0.05,,4.5,,2,,
CoRoT-8,,,0.8,0.89,,-0.4,4.58,1.7,2.44,,
CoRoT-8,,5080,0.9,0.88,0.31,,4.47,,1.7,,
CoRoT-8,K1 V,5080,0.77,0.88,0.3,,4.58,3,2.7,2,
CoRoT-8,,4396.59,0.8,,,-0.665,,,,,
CoRoT-8,,5143,0.99,0.88,0.22,,4.42,,1.21,,
CoRoT-8,,5080,0.77,0.88,0.3,,,3,,2,
CoRoT-8,,5143,0.56,0.87,0.22,-0.699,4.87,,6.8429,,
CoRoT-9,G3 V,5625,0.94,0.99,-0.01,,4.54,,1.68,3.5,
CoRoT-9,,5625,0.94,0.96,-0.01,,4.48,,1.63,,
CoRoT-9,,5613,0.9,0.99,-0.02,-0.142,4.53,,1.9322,,
CoRoT-9,,5625,0.96,0.96,-0.01,,,6,,3.5,
CoRoT-9,,5625,0.96,0.96,-0.01,,4.54,6,1.51,3.5,
CoRoT-9,,5127.62,0.95,,,-0.254,,,,,
CoRoT-9 B,,3683,,,,,,,,,
CoRoT-9,,5613,1.11,0.94,-0.02,,4.35,,1.16,,
CoRoTID 223977153,,5859,0.98,1.06,,0.011,4.48,,1.5728,,
CoRoTID 223977153,G0 VI,5970,0.79,1.08,0,-0.155,4.67,,,3.2,
CoRoTID 223977153,,5740.6,0.98,,,-0.026,,,,,
DE CVn Ab,M3 V,3400,0.37,0.41,,,,,,,
DE CVn,,,,0.51,,,,,,,
DE CVn,,3585.67,,,,,,,,,
DE CVn,,3579,0.42,0.42,,-1.574,4.8,,7.7107,,
DENIS-P J082303.1-491201,L1.5,,,0.07,,,,1,,,
DH Tau,,3751.5,1.23,,,-0.569,,,,,
DH Tau,M0.5,,0.27,0.33,,,,0.001,,,
DH Tau,,4371,1.37,0.68,,-0.212,4,,0.3771,,
DMPP-1,,6156.61,1.27,1.17,,0.317,4.3,,0.8128,,
DMPP-1,G0,,,,,,,,,,
DMPP-1,,,,,,,,,,3,
DMPP-1,F8 V,6196,1.26,1.21,,,4.41,2.01,,3.41,
DMPP-1,,6088,1.3,,,0.32,,,,,
DMPP-1,F8 V,,,,,,,,,,
DMPP-2,,6293.12,2.03,,,0.763,,,,,
DMPP-2,,6435,1.96,1.3,,0.773,3.97,,0.2435,,
DMPP-2,F5,,,,,,,,,,
DMPP-2,F5 V,6500,1.78,1.44,,0.104,4.1,2,,5.1,
DMPP-2,F5 V,,,,,,,,,,
DMPP-3 A,,5105.5,0.91,,,-0.293,,,,,
DMPP-3 A,K0 IV/V,,,,,,,,,,
DMPP-3 A,K0 V,5138,0.91,0.87,0.18,,4.3,10.9,,1.97,21.8
DMPP-3 B,L,,,,,,,10.9,,,
DMPP-3 A,K0,,,,,,,,,,
DMPP-4,,,,,,,,,,8,
DMPP-4,F5,,,,,,,,,,
DMPP-4,F7V,6266,1.42,1.3,,0.45,,,,,
DMPP-4,,6275.11,1.39,1.22,-0.03,0.431,4.24,,0.6408,,
DMPP-4,F5-F8 V,6400,1.38,1.25,-0.007,0.459,4.24,2.15,,7.5,
DP Leo,,13500,0.01,,,,,,,,
DP Leo Ab,,,,,,,,,,,
DP Leo,,,,0.69,,,,,,,
DS Tuc B,,4658,0.85,0.74,,-0.516,4.45,,1.7112,,
DS Tuc A,,5414,0.95,0.94,,-0.154,4.45,,1.536,,
DS Tuc A,,,,,,,,,,,
DS Tuc A,G6 V,5542,0.87,0.96,-0.08,,4.6,0.04,2.095,15.5,2.85
DS Tuc A,,,,,,,,,,17,
DS Tuc A,,5597.5,0.88,,,-0.161,,,,,
DS Tuc A,,5414,0.95,,,,4.44,,,,
DS Tuc A,G6 V,5428,0.96,1.01,0,-0.14,,0.045,2.4,17.8,2.85
EPIC 201170410,,3648,0.28,0.29,-0.048,,5,,,,
EPIC 201170410,,4012.71,,,,,,,,,
EPIC 201238110,,3588,,,,,,,,,
EPIC 201238110,,,,0.41,,,,,,,
EPIC 201238110,,,0.37,,,,,,,,
EPIC 201238110,,3587,0.46,0.45,,-1.508,4.78,,6.7329,,
EPIC 201238110,,,0.37,,,,,,,,
EPIC 201238110,,3772,0.52,,,,,,,,
EPIC 201427007,,5633,0.94,,-0.053,,4.4,,,,
EPIC 201427007,,5382.73,1.09,0.93,0.314,-0.049,4.33,,1.0206,,
EPIC 201497682,,4670.35,0.69,0.74,-0.089,-0.695,4.63,,3.2293,,
EPIC 201497682,,4991,0.55,,,-0.766,,,,,
EPIC 201497682,,,0.55,,,,,,,,
EPIC 201497682,,,,0.78,,,,,,,
EPIC 201497682,,4535,0.7,,,,,,,,
EPIC 201595106,,5823,0.96,1.02,0,,4.48,,,3.62,
EPIC 201595106,,5820,0.93,,-0.01,,4.6,,,,
EPIC 201595106,,5711.17,0.99,1.02,0.018,-0.026,4.45,,1.4754,,
EPIC 201595106,,5705,0.93,,-0.01,,4.48,,,,
EPIC 201757695,,4520,0.66,0.73,-0.003,-0.364,4.66,,,,
EPIC 201841433,,,,0.8,,,,,,,
EPIC 201841433,,5053,0.63,,,-0.635,,,,,
EPIC 201841433,,,0.63,,,,,,,,
EPIC 201841433,,5053,0.63,0.8,0,,4.59,,,,
EPIC 201841433,,4751,0.73,,,,,,,,
EPIC 201841433,,4763,0.74,0.77,,-0.592,4.58,,2.6521,,
EPIC 201841433,,,0.63,,,,,,,,
EPIC 206024342,,5724,1.1,,-0.22,,4.5,,,,
EPIC 206024342,,,0.82,,,,,,,,
EPIC 206024342,,,0.82,,,,,,,,
EPIC 206024342,,5759,0.85,1.03,,-0.147,4.59,,2.3828,,
EPIC 206024342,,,,0.93,,,,,,,
EPIC 206024342,,5648,0.94,,,,,,,,
EPIC 206024342,,6438,1.5,,,,4.2,,,,
EPIC 206024342,,,0.82,,,,,,,,
EPIC 206024342,,5769.5,0.82,,,-0.17,,,,,
EPIC 206032309,,2989,0.18,,,,,,,,
EPIC 206032309,,,,0.22,,,,,,,
EPIC 206032309,,3489,0.37,0.36,,-1.73,4.85,,9.7786,,
EPIC 206032309,,3550.11,,,,,,,,,
EPIC 206042996,,4055,0.67,0.63,,-0.956,4.58,,2.9046,,
EPIC 206042996,,,0.67,,,,,,,,
EPIC 206042996,,,,0.56,,,,,,,
EPIC 206042996,,3893,0.57,,,,,,,,
EPIC 206042996,,4018.74,0.67,,,-0.98,,,,,
EPIC 206042996,,4114,0.5,,0.006,,4.8,,,,
EPIC 206215704,,3467,0.25,0.22,,-2.088,4.99,,19.8798,,
EPIC 206215704,,,,0.41,,,,,,,
EPIC 206215704,,,0.37,,,,,,,,
EPIC 206215704,,3297,0.25,,-0.33,,4.9,,,,
EPIC 206215704,,4231,0.65,,,,,,,,
EPIC 206215704,,3637.57,,,,,,,,,
EPIC 206215704,,,0.37,,,,,,,,
EPIC 206317286,,4752,0.76,0.83,0.019,,4.6,,,,
EPIC 206317286,,,0.67,,,,,,,,
EPIC 206317286,,4864,0.76,0.79,,-0.533,4.57,,2.5198,,
EPIC 206317286,,,,0.71,,,,,,,
EPIC 206317286,,4749,0.73,,,,,,,,
EPIC 206317286,,5014.67,0.67,,,-0.593,,,,,
EPIC 206317286,,,0.67,,,,,,,,
EPIC 211822797,,3880,0.59,0.61,0.14,-1.153,,0.79,4.2,2.6,14.6
EPIC 211822797,,4057,0.58,0.62,0.2,,4.7,,,,
EPIC 211822797,M0,,,,,,,,,,
EPIC 211822797,,3811,0.6,0.59,,-1.169,4.65,,3.8797,,
EPIC 211822797,,4148.21,0.57,0.66,,,,,,,
EPIC 211822797,,,0.64,,,,,,,,
EPIC 211822797,,,,,,,,,,,
EPIC 211822797,,,,,,,,,,,
EPIC 211822797,,3797,0.64,,,-1.113,,,,,
EPIC 211945201,,6128,1.36,,,,4.23,,,,
EPIC 211945201,G0,6025,1.38,1.18,0.1,,4.25,3.99,0.63,4,
EPIC 211945201,,6128,1.36,1.16,,0.373,4.23,,0.6439,,
EPIC 211945201,,6320,1.49,,,,4.22,,,,
EPIC 211945201,,6046,1.41,,0.05,,4.14,,,,
EPIC 211945201,,,,,,,,,,,
EPIC 211945201,,6069,1.39,1.17,0.1,,4.22,,2.253,,
EPIC 211945201,,6027.47,1.4,,,0.369,,,,,
EPIC 211945201,,,1.48,,,,,,,,
EPIC 211945201,,,,,,,,,,,
EPIC 211945201,,,1.4,,,,,,,,
EPIC 212297394,,,0.75,,,,,,,,
EPIC 212297394,,,,,,,,,,,
EPIC 212297394,,5171,0.8,0.83,-0.03,,4.55,,,,
EPIC 212297394,,5008,0.78,0.83,,-0.467,4.58,,2.5038,,
EPIC 212297394,,4987.49,0.75,,,-0.505,,,,,
EPIC 212297394,,,0.75,,,,,,,,
EPIC 212297394,,,,0.83,,,,,,,
EPIC 212424622,,5915,1.22,1.08,,0.214,4.3,,0.842,,
EPIC 212424622,,5782.33,1.22,,,0.179,,,,,
EPIC 212424622,,,,,,,,,,,
EPIC 212424622,,,1.22,,,,,,,,
EPIC 212424622,,,,1.11,,,,,,,
EPIC 212424622,,,1.22,,,,,,,,
EPIC 212499991,,,0.76,,,,,,,,
EPIC 212499991,,,,0.91,,,,,,,
EPIC 212499991,,5079,0.75,0.85,,-0.47,4.61,,2.8167,,
EPIC 212499991,,,,,,,,,,,
EPIC 212499991,,4982.79,0.76,,,-0.497,,,,,
EPIC 212587672,,,,,,,,,,,
EPIC 212587672,,6055,0.95,1.13,,0.038,4.54,,1.8589,,
EPIC 212587672,,,0.98,,,,,,,,
EPIC 212587672,,5864.75,0.98,,,0.006,,,,,
EPIC 212587672,,,0.98,,,,,,,,
EPIC 212587672,,,0.95,,,,,,,,
EPIC 212587672,,,,0.95,,,,,,,
EPIC 212587672,,6004,0.98,0.99,-0.18,,4.45,,,,
EPIC 212587672,,5928,0.95,,-0.21,,4.49,,,,
EPIC 212587672,,,,,,,,,,,
EPIC 212624936,,,0.95,,,,,,,,
EPIC 212624936,,5627,0.91,1,,-0.124,4.52,,1.8554,,
EPIC 212624936,,5765,0.93,,-0.39,,4.4,,,,
EPIC 212737443,,4581,0.67,0.72,,-0.751,4.65,,3.4085,,
EPIC 212737443,,,,,,,,,,,
EPIC 212737443,K3,4684,0.67,0.69,-0.137,,4.62,,3.19,,
EPIC 212737443,,4897,0.55,,,-0.804,,,,,
EPIC 212737443,,,,,,,,,,,
EPIC 220492298,,5443.04,1.11,0.95,0.47,-0.009,4.32,,0.9709,,
EPIC 220492298,,5620,0.89,,0.28,,4.5,,,,
EPIC 220674823,,5617,0.98,0.97,0.13,,4.45,,,,
EPIC 220674823,G5,5590,0.83,0.93,0.025,-0.119,4.56,5,,2.62,
EPIC 220674823,,,1.02,,,,,,,,
EPIC 220674823,,5496,0.98,0.9,0.06,,4.42,,1.35,,
EPIC 220674823,,5364.75,1.02,,,-0.11,,,,,
EPIC 220674823,,5565,0.99,0.98,,-0.073,4.44,,1.4295,,
EPIC 220674823,,5532,0.99,0.95,0.11,,,7.5,,,
EPIC 220674823,,5496,0.95,0.92,0.06,,4.42,,,2,
EPIC 220674823,,5590,0.91,0.97,0.08,,4.54,,,,
EPIC 220674823,,5613,0.95,,0.01,,4.6,,,,
EPIC 220674823,,,0.97,,,,,,,,
EPIC 220674823,G5 V,5470,0.87,0.94,-0.025,,4.53,,,2.8,
EPIC 228836835,,3782,0.32,,-0.18,,5,,,,
EPIC 228836835,,3506,0.42,0.42,,-1.612,4.8,,7.7399,,
EPIC 228836835,,3562,0.43,0.45,-0.01,,4.83,,,,
EPIC 229004835,,5868,1,0.97,-0.12,,,4.9,,,
EPIC 229004835,,5886,1,1.07,,0.03,4.47,,1.5256,,
EPIC 229004835,,5870,0.98,,-0.15,,4.4,,,,
EPIC 229004835,,5831,1,0.92,-0.22,,4.4,,,3.77,
EPIC 246851721,,6513,1.74,,,,4.08,,,,
EPIC 246851721,,6513,1.74,1.34,,0.691,4.08,,0.3585,,
2MASS J05154048+1616394,,3926,0.45,0.45,,-1.356,4.78,,6.8054,,
EPIC 246851721,F5 V,6202,1.59,1.32,0.141,0.526,4.16,3.02,0.465,74.92,
2MASS J05154048+1616394,M,,,0.4,,,,3.02,,,
EPIC 246851721,,5695.66,1.87,,,0.521,,,,,
EPIC 248847494,,4953.11,2.55,,,0.548,,,,,
EPIC 248847494,,4962.41,2.62,,-0.289,,,,,,
EPIC 248847494,,4898,2.7,0.9,-0.23,,3.52,,0.064,,
EPIC 249893012,,5256,1.82,,,0.356,,,,,
EPIC 249893012,,5230.8,1.94,0.89,0.05,0.406,3.81,,0.1711,,
EPIC 249893012,G8 IV/V,5430,1.71,1.05,0.2,,3.99,9,0.298,2.1,41
FU Tau,M7.25,2838,,0.05,,-0.699,,0.001,,,
G 196-3,,3517,0.52,0.52,,-1.425,4.72,,5.1392,,
G 264-012,M4.0 V,3326,0.3,0.3,0.1,-1.972,4.85,,,2,100
G 264-012,,3272,0.31,0.29,,-1.99,4.91,,13.2592,,
G 9-40,,3395,0.3,0.3,-0.07,-1.96,4.84,,1.62,,30
G 9-40,,3413,0.32,,,,4.91,,,,
G 9-40,,3413,0.32,0.29,,-1.915,4.91,,13.2211,,
G 9-40,,3390,0.31,,,,4.94,,,,
G 9-40,,3708,,,,,,,,,
G 9-40,M2.5 V,3348,0.31,0.29,0.04,-1.971,4.93,9.9,14.11,2,29.85
GJ 1002,,2902,0.14,0.12,,-2.879,5.19,,55.4425,,
GJ 1002,M5.5,,,,,,,,,,
GJ 1002,M5.5 V,3024,0.14,0.12,-0.25,-2.852,5.1,,,,126
