hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp
BD+15 2375,,4649,11.8,,-0.22,,,,,,
BD+15 2375,,4649,8.95,1.08,-0.22,1.57,2.61,7.41,,2.5,
BD+15 2375,G5,,,,,,,,,,
BD+15 2940,,4796,10.49,,,1.72,,,,,
BD+15 2940,,4796,10.76,,-0.28,,,,,,
BD+15 2940,K0,4796,14.7,1.1,0.28,2.01,2.8,7.1,,2.3,
BD+20 2457,,4329.9,43.02,,,2.768,,,,,
BD+20 2457,K2 II,4137,49,2.8,-1,3.17,1.51,,,2.5,
BD+20 2457,,4181.98,46.05,,-0.806,,,,,,
BD+20 2457,,4259,71.02,10.83,-0.79,,1.77,,,,
BD+20 2457,,4259,,1.06,-0.79,,1.77,,,,
BD+20 274,,4391,,1.17,-0.32,,2.03,,,,
BD+20 274,,4322.65,41.32,,,2.73,,,,,
BD+20 274,K5 III,4296,17.3,0.8,-0.46,1.96,1.99,,,2,
BD+20 274,,4296,43.41,,-0.46,,,,,,
BD+20 594,G,5766,0.93,0.96,-0.15,-0.056,4.5,3.34,1.7,3.3,
BD+20 594,,5456.77,1.19,,,0.05,,,,,
BD+20 594,,5651.76,1.24,1,-0.175,0.154,4.25,,0.7329,,
BD+20 594,,5703,0.96,0.96,-0.06,,4.38,,,,
BD+20 594,,5766,1.08,1.67,-0.15,,4.5,,1.89,,
BD+45 564,,5087.09,0.81,0.85,0.09,-0.399,4.55,,2.2295,,
BD+45 564,K1,5004,,0.81,-0.09,,4.22,,,2,
BD+48 738,K0 III,4414,11,0.74,-0.2,1.69,2.24,,,1,
BD+48 738,,4519,11.1,0.74,0.24,1.69,2.51,,,1.97,
BD+48 738,,4329.9,29.88,,,2.451,,,,,
BD+48 738,,4658,,1.19,-0.09,,2.62,,,,
BD+48 738,,4435,33.38,,-0.237,,,,,,
BD+48 740,,4534,10.33,1.09,-0.13,1.64,2.48,,,0.7,746
BD+48 740,K3 III,,,,,,,,,,
BD+48 740,,4534,26.63,,-0.13,,,,,,
BD+48 740,,4435.05,25.34,,,2.35,,,,,
BD+49 828,K0,4943,7.6,1.52,-0.19,1.47,2.85,2.34,,1.7,
BD+49 828,,4717.82,9.86,,,1.637,,,,,
BD+49 828,,4943,9.2,,-0.19,,,,,,
BD+55 362,K3,5012,,0.91,0.18,,4.09,,,2,
BD+55 362,,5092,0.9,0.85,,-0.313,4.46,,1.6649,,
BD+60 1417,,4993,0.8,0.83,,-0.449,4.55,,2.3087,,
BD+60 1417,K0,4993,0.8,1,,0.356,4.55,0.1,,11,7.5
BD+63 1405,K0,5000,,0.82,-0.09,,4.2,,,,
BD+63 1405,K0,5000,,0.82,-0.09,,4.2,,,2.1,
BD+63 1405,,5073,0.8,0.85,,-0.413,4.56,,2.2996,,
BD-06 1339,K7,,,,,,,,,,
BD-06 1339,,4042,0.69,0.63,,-0.946,4.56,,2.747,,
BD-06 1339,,4081.58,0.67,,,-0.956,,,,,
BD-06 1339,K7/M0 V,4324,,0.7,-0.14,-1.022,4.74,4.4,,0.57,
BD-06 1339,M0V,4060,0.67,0.57,,-0.959,,,,,
BD-08 2823,K3 V,4746,,0.74,-0.07,,4.13,4.5,,1.4,
BD-08 2823,,4816,0.69,0.78,-0.06,-0.634,4.65,,3.318,,
BD-08 2823,,4757.23,0.72,,,-0.626,,,,,
BD-08 2823,,4816,0.71,0.5,-0.06,,4.43,,,,
BD-10 3166,,,0.84,0.92,,,4.57,1.84,,,
BD-10 3166,,5382.64,0.97,1,0.37,,4.46,,,,
BD-10 3166,,,,,,,,0.25,,,
BD-10 3166,,5335.5,0.94,,,-0.191,,,,,
BD-10 3166,,5393,0.91,1.47,0.38,,4.69,,,,
BD-10 3166,,5388,0.8,1,0.42,-0.313,4.44,1,,,
BD-10 3166,,5393,,1.01,0.382,,4.68,,,0.92,
BD-10 3166,,5314,0.95,0.92,0.31,-0.192,4.45,,1.5328,,
BD-10 3166,K0 V,5400,,1.1,0.5,,4.4,,,,
BD-11 4672,K7 V,4475,0.52,0.57,-0.48,,4.1,4.4,,2,
BD-11 4672,K5,,,,,,,,,,
BD-11 4672,K7V,4228,0.67,0.59,,-0.886,,,,,
BD-11 4672,,4550,0.64,0.65,-0.35,-0.804,4.64,7.4,3.53,1,25
BD-11 4672,,4191.6,0.69,,,-0.881,,,,,
BD-11 4672,,4217,0.67,0.66,,-0.888,4.6,,3.039,,
BD-13 2130,G5 IV/V,,,,,,,,,,
BD-13 2130,,4717.52,17.11,,-0.036,,,,,,
BD-13 2130,,4572.33,16.74,,,2.043,,,,,
BD-13 2130,,,,2.4,,,,0.74,,,
BD-13 2130,,4545,19.17,2.12,-0.08,,2.2,,,,
BD-14 3065 A,,6736.88,2.61,1.44,-0.209,1.101,3.76,,0.1144,,
BD-14 3065 A,,6736.9,2.61,,,,3.76,,,,
